gene,function,category,functional_group
SAOUHSC_01854,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01855,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_01856,UDP-N-acetylmuramate--L-alanine ligase,Cell envelope,Cell envelope
SAOUHSC_01857,hypothetical protein,Protein fate,Protein fate
SAOUHSC_01858,hypothetical protein,Protein synthesis,Translation
SAOUHSC_01859,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01860,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_01861,hypothetical protein,Protein fate,Protein fate
SAOUHSC_01863,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01864,hypothetical protein,Transcription,Transcription
SAOUHSC_01865,tRNA (guanine-N(7)-)-methyltransferase,Protein synthesis,Translation
SAOUHSC_01866,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01867,D-alanine aminotransferase,Energy metabolism,Energy metabolism
SAOUHSC_01868,dipeptidase PepV,,Unknown/Hypothetical
SAOUHSC_01869,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01870,16S rRNA pseudouridine(516) synthase,Protein synthesis,Translation
SAOUHSC_01871,polysaccharide biosynthesis protein,Cellular processes,Cellular processes
SAOUHSC_01872,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01873,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01874,hypothetical protein,Protein synthesis,Translation
SAOUHSC_01875,leucyl-tRNA synthetase,Protein synthesis,Translation
SAOUHSC_01876,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01877,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01878,hypothetical protein,Protein synthesis,Translation
SAOUHSC_01879,virulence factor regulator protein,Regulatory functions,Regulatory
SAOUHSC_01882,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01883,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01884,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01886,"6,7-dimethyl-8-ribityllumazine synthase","Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01887,riboflavin biosynthesis protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01888,riboflavin synthase subunit alpha,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01889,riboflavin biosynthesis protein RibD,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01890,hypothetical protein,Protein synthesis,Translation
SAOUHSC_01891,arsenate operon regulator,Regulatory functions,Regulatory
SAOUHSC_01893,Ars family arsenical pump,Cellular processes; Transport and binding proteins,Cellular processes
SAOUHSC_01894,arsenate reductase,Cellular processes,Cellular processes
SAOUHSC_01895,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01896,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01897,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01898,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01899,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01900,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01901,putative translaldolase,Energy metabolism,Energy metabolism
SAOUHSC_01902,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_01903,camphor resistance protein CrcB,Unknown function,Unknown/Hypothetical
SAOUHSC_01904,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01907,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01908,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01909,S-adenosylmethionine synthetase,Central intermediary metabolism,Central metabolism
SAOUHSC_01910,phosphoenolpyruvate carboxykinase,Energy metabolism,Energy metabolism
SAOUHSC_01911,IS200 family transposase,,Unknown/Hypothetical
SAOUHSC_01912,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_01913,hypothetical protein,DNA metabolism,DNA metabolism
SAOUHSC_01914,hypothetical protein,Hypothetical proteins,Unknown/Hypothetical
SAOUHSC_01915,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01916,2-succinylbenzoate-CoA ligase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01917,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01918,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_01919,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01920,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_01921,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01922,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01923,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01924,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01925,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_01926,hypothetical protein,Protein fate,Protein fate
SAOUHSC_01927,IS3 family transposase,,Unknown/Hypothetical
SAOUHSC_01928,transposase family protein,,Unknown/Hypothetical
SAOUHSC_01929,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01930,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01931,hypothetical protein,DNA metabolism,DNA metabolism
SAOUHSC_01932,type I restriction-modification system subunit S,Cellular processes,Cellular processes
SAOUHSC_01933,type I restriction-modification system subunit M,DNA metabolism,DNA metabolism
SAOUHSC_01934,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01935,serine protease SplF,Protein fate,Virulence
SAOUHSC_01936,serine protease SplE,Protein fate,Virulence
SAOUHSC_01937,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01938,serine protease SplD,Protein fate,Virulence
SAOUHSC_01939,serine protease SplC,Protein fate; Regulatory functions,Virulence
SAOUHSC_01941,serine protease SplB,Protein fate; Regulatory functions,Virulence
SAOUHSC_01942,serine protease SplA,Protein fate; Regulatory functions,Virulence
SAOUHSC_01943,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01944,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01945,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01947,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01948,ABC transporter,,Unknown/Hypothetical
SAOUHSC_01949,intracellular serine protease,Protein fate,Virulence
SAOUHSC_01950,flavoprotein EpiD,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01951,epidermin biosynthesis protein EpiC,Cellular processes,Cellular processes
SAOUHSC_01952,lantibiotic epidermin biosynthesis protein EpiB,Cellular processes,Cellular processes
SAOUHSC_01953,gallidermin superfamily epiA protein,Cellular processes,Cellular processes
SAOUHSC_01954,leukotoxin LukD,Cellular processes,Cellular processes
SAOUHSC_01955,leukotoxin LukE,Cellular processes,Cellular processes
SAOUHSC_01956,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01957,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01958,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01959,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01960,protoporphyrinogen oxidase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01961,ferrochelatase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01962,uroporphyrinogen decarboxylase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01963,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01964,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01966,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01967,ABC transporter ATP-binding protein,Transport and binding proteins,Transport
SAOUHSC_01968,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01969,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01971,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01972,protein export protein PrsA,Central intermediary metabolism,Central metabolism
SAOUHSC_01973,3'-5' exoribonuclease YhaM,,Unknown/Hypothetical
SAOUHSC_01974,hypothetical protein,Cellular processes; DNA metabolism,Cellular processes
SAOUHSC_01975,hypothetical protein,DNA metabolism,DNA metabolism
SAOUHSC_01976,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01977,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_01978,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01979,hypothetical protein,Regulatory functions,Regulatory
SAOUHSC_01980,DNA-binding response regulator,,Unknown/Hypothetical
SAOUHSC_01981,sensor histidine kinase,Protein fate; Signal transduction,Protein fate
SAOUHSC_01982,ribosomal large subunit pseudouridine synthase D,Protein synthesis,Translation
SAOUHSC_01983,fumarate hydratase,Energy metabolism,Energy metabolism
SAOUHSC_01984,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01985,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01986,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01987,hypothetical protein,Central intermediary metabolism,Central metabolism
SAOUHSC_01988,hypothetical protein,Protein synthesis,Translation
SAOUHSC_01989,hypothetical protein,Protein synthesis,Translation
SAOUHSC_01990,amino acid ABC transporter ATP-binding protein,,Unknown/Hypothetical
SAOUHSC_01991,ABC transporter permease,,Unknown/Hypothetical
SAOUHSC_01992,PTS system transporter subunit IIC domain-containing protein,,Unknown/Hypothetical
SAOUHSC_A01909,hypothetical protein,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_A01912,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01997,ferric uptake regulator-like protein,,Unknown/Hypothetical
SAOUHSC_01998,hypothetical protein,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_01999,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_02000,glutamate-1-semialdehyde aminotransferase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02001,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02002,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02003,ABC transporter ATP-binding/permease,Cell envelope; Transport and binding proteins,Cell envelope
SAOUHSC_02004,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02005,A/G-specific adenine glycosylase,DNA metabolism,DNA metabolism
SAOUHSC_02006,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02007,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02008,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02009,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02010,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02011,recombination regulator RecX,Central intermediary metabolism,Central metabolism
SAOUHSC_02012,glycosyltransferase,Cell envelope,Cell envelope
SAOUHSC_02013,hypothetical protein,Protein fate,Protein fate
SAOUHSC_02014,hypothetical protein,Regulatory functions,Regulatory
SAOUHSC_02015,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02016,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02017,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02018,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02019,autolysin,,Unknown/Hypothetical
SAOUHSC_02020,holin,Mobile and extrachromosomal element functions,Mobile elements
SAOUHSC_02021,phi ETA orf 63-like protein,,Unknown/Hypothetical
SAOUHSC_02022,phage tail fiber protein,,Unknown/Hypothetical
SAOUHSC_02023,bifunctional autolysin,,Unknown/Hypothetical
SAOUHSC_02025,phi SLT orf 99-like protein,DNA metabolism,DNA metabolism
SAOUHSC_02026,phi ETA orf 58-like protein,Mobile and extrachromosomal element functions,Mobile elements
SAOUHSC_02027,SLT orf 129-like protein,,Unknown/Hypothetical
SAOUHSC_02028,phiETA ORF57-like protein,,Unknown/Hypothetical
SAOUHSC_02029,phi ETA orf 56-like protein,,Unknown/Hypothetical
SAOUHSC_02030,phi ETA orf 55-like protein,,Unknown/Hypothetical
SAOUHSC_02031,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02033,phage tape measure protein,,Unknown/Hypothetical
SAOUHSC_02034,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02035,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02036,phage structural protein,Mobile and extrachromosomal element functions,Mobile elements
SAOUHSC_02037,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02038,HK97 family phage protein,Mobile and extrachromosomal element functions,Mobile elements
SAOUHSC_02040,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02041,phi Mu50B-like protein,,Unknown/Hypothetical
SAOUHSC_02042,phi Mu50B-like protein,,Unknown/Hypothetical
SAOUHSC_02043,phage head protein,Mobile and extrachromosomal element functions,Mobile elements
SAOUHSC_02044,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_02046,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02047,phage head morphogenesis protein,Mobile and extrachromosomal element functions,Mobile elements
SAOUHSC_02048,SPP1 family phage portal protein,Mobile and extrachromosomal element functions,Mobile elements
SAOUHSC_02049,PBSX family phage terminase large subunit,Mobile and extrachromosomal element functions,Mobile elements
SAOUHSC_02050,terminase small subunit,,Unknown/Hypothetical
SAOUHSC_02051,int gene activator RinA,Mobile and extrachromosomal element functions; Regulatory functions,Mobile elements
SAOUHSC_02052,hypothetical protein,Energy metabolism; Protein fate,Energy metabolism
SAOUHSC_02053,transcriptional activator rinb-like protein,,Unknown/Hypothetical
SAOUHSC_02054,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02055,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02056,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02057,dUTP pyrophosphatase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_02058,hypothetical protein,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_02059,phi PVL orf 52-like protein,,Unknown/Hypothetical
SAOUHSC_02060,phi PVL orf 51-like protein,,Unknown/Hypothetical
SAOUHSC_02061,phi PVL orf 50-like protein,,Unknown/Hypothetical
SAOUHSC_02062,helix-turn-helix DNA binding protein,Regulatory functions,Regulatory
SAOUHSC_02063,PV83 orf 23-like protein,,Unknown/Hypothetical
SAOUHSC_02064,phi ETA orf 25-like protein,,Unknown/Hypothetical
SAOUHSC_02065,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02066,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02067,bacteriophage L54a DnaB-like helicase family protein,DNA metabolism,DNA metabolism
SAOUHSC_02068,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02069,phi PV83 orf 20-like protein,Mobile and extrachromosomal element functions,Mobile elements
SAOUHSC_02070,phi PV83 orf 19-like protein,,Unknown/Hypothetical
SAOUHSC_02071,single-strand DNA-binding protein,DNA metabolism,DNA metabolism
SAOUHSC_02072,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02073,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02074,phi PVL orf 39-like protein,,Unknown/Hypothetical
SAOUHSC_02076,phi PVL orf 38-like protein,,Unknown/Hypothetical
SAOUHSC_02077,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02078,phi PV83 orf 10-like protein,,Unknown/Hypothetical
SAOUHSC_02079,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02080,bacteriophage L54a antirepressor,,Unknown/Hypothetical
SAOUHSC_02081,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02083,bacteriophage L54a Cro-like protein,Regulatory functions,Regulatory
SAOUHSC_02084,phage repressor protein,Regulatory functions,Regulatory
SAOUHSC_02085,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02086,PV83 orf 4-like protein,DNA metabolism,DNA metabolism
SAOUHSC_02087,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02088,excisionase-like protein,,Unknown/Hypothetical
SAOUHSC_02089,phage family integrase,DNA metabolism,DNA metabolism
SAOUHSC_02090,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_02091,acyl-CoA thioesterase,,Virulence
SAOUHSC_02092,aminopeptidase PepS,,Unknown/Hypothetical
SAOUHSC_02093,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02095,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_02096,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02097,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_02098,DNA-binding response regulator VraR,Cellular processes,Cellular processes
SAOUHSC_02099,histidine kinase,Signal transduction,Signal transduction
SAOUHSC_02100,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02101,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02102,methionine aminopeptidase,Protein fate,Protein fate
SAOUHSC_A02013,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02103,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02104,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02105,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02106,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02107,UDP-N-acetylmuramyl tripeptide synthetase,Cell envelope,Cell envelope
SAOUHSC_02108,ferritin,Transport and binding proteins,Transport
SAOUHSC_02109,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02110,hypothetical protein,DNA metabolism,DNA metabolism
SAOUHSC_02111,DNA polymerase IV,,Unknown/Hypothetical
SAOUHSC_02112,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02113,RNA methyltransferase,Protein synthesis,Translation
SAOUHSC_02114,lipid kinase,Unknown function,Unknown/Hypothetical
SAOUHSC_02115,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02116,aspartyl/glutamyl-tRNA amidotransferase subunit B,Protein synthesis,Virulence
SAOUHSC_02117,aspartyl/glutamyl-tRNA amidotransferase subunit A,Protein synthesis,Virulence
SAOUHSC_02118,aspartyl/glutamyl-tRNA amidotransferase subunit C,Protein synthesis,Virulence
SAOUHSC_02119,high affinity proline permease,Transport and binding proteins,Transport
SAOUHSC_02121,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_02122,NAD-dependent DNA ligase,DNA metabolism,DNA metabolism
SAOUHSC_02123,ATP-dependent DNA helicase PcrA,DNA metabolism,DNA metabolism
SAOUHSC_02124,geranylgeranylglyceryl phosphate synthase-like protein,,Unknown/Hypothetical
SAOUHSC_02125,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_02126,adenylosuccinate lyase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_02127,staphopain thiol proteinase,Transcription,Transcription
